x1,x2,x3,d
0.8799,0.7998,0.3972,0.8399
0.5700,0.5111,0.2418,0.6258
0.6796,0.4117,0.3370,0.6622
0.3567,0.2967,0.6037,0.5969
0.3866,0.8390,0.0232,0.5316
0.0271,0.7788,0.7445,0.6335
0.8174,0.8422,0.3229,0.8068
0.6027,0.1468,0.3759,0.5342
0.1203,0.3260,0.5419,0.4768
0.1325,0.2082,0.4934,0.4105
0.6950,1.0000,0.4321,0.8404
0.0036,0.1940,0.3274,0.2697
0.2650,0.0161,0.5947,0.4125
0.5849,0.6019,0.4376,0.7464
0.0108,0.3538,0.1810,0.2800
0.9008,0.7264,0.9184,0.9602
0.0023,0.9659,0.3182,0.4986
0.1366,0.6357,0.6967,0.6459
0.8621,0.7353,0.2742,0.7718
0.0682,0.9624,0.4211,0.5764
0.6112,0.6014,0.5254,0.7868
0.0030,0.7585,0.8928,0.6388
0.7644,0.5964,0.0407,0.6055
0.6441,0.2097,0.5847,0.6545
0.0803,0.3799,0.6020,0.4991
0.1908,0.8046,0.5402,0.6665
0.6937,0.3967,0.6055,0.7595
0.2591,0.0582,0.3978,0.3604
0.4241,0.1850,0.9066,0.6298
0.3332,0.9303,0.2475,0.6287
0.3625,0.1592,0.9981,0.5948
0.9259,0.0960,0.1645,0.4716
0.8606,0.6779,0.0033,0.6242
0.0838,0.5472,0.3758,0.4835
0.0303,0.9191,0.7233,0.6491
0.9293,0.8319,0.9664,0.9840
0.7268,0.1440,0.9753,0.7096
0.2888,0.6593,0.4078,0.6328
0.5515,0.1364,0.2894,0.4745
0.7683,0.0067,0.5546,0.5708
0.6462,0.6761,0.8340,0.8933
0.3694,0.2212,0.1233,0.3658
0.2706,0.3222,0.9996,0.6310
0.6282,0.1404,0.8474,0.6733
0.5861,0.6693,0.3818,0.7433
0.6057,0.9901,0.5141,0.8466
0.5915,0.5588,0.3055,0.6787
0.8359,0.4145,0.5016,0.7597
0.5497,0.6319,0.8382,0.8521
0.7072,0.1721,0.3812,0.5772
